instrulife_product_number,name,price
MILAEZ01,MILA EZIO NEEDLE SET 15Gx2.5cm,88.66
MILAEZ02,MILA EZIO NEEDLE SET 15Gx4.5cm,88.66
MILAFL00,MILA FLOW 10ML IN 15MIN-40ML,8.46
MILAFL01,MILA FLOW 10ML IN 30MIN-20ML,8.46
MILAFL02,MILA FLOW 10ML IN 2HOURES-5ML,8.46
MILAFL03,MILA FLOW 10ML IN 4HOURES-2.5ML,8.46
MILAIV00,MILA IV BACKPACK STARTER KIT,160.72
MILANA03,MILA NASO FEEDING TUBE 18FRx250cm,28.68
MILAOO00,OOCYTE TRANSFER SET,66.66
MILAOO01,OOCYTE COLLECTION SET,66.66
MILASK00,MILA SKIN BUTTON KIT,52.60
MILASK01,MILA SKIN BUTTON KIT - 5PACK,216.25
MILASP02,MILA REFILL PORT WITH EXTENSION SET,8.46
MILAST00,MILA STOPCOCK THREE WAY LUER SLIP 10pc,31.37
CENTRI08,CENTRIFUTUBE MICRO BLOED ROOD 13ML 100st,41.41
CENTRI09,CENTRITUB MICbLOED GROEN LI-HEP13ML100st,41.41
HONDEN12,HONDENKRAAG SMART COLLAR M5,5.97
MILABR00,MILA BRONCHO ALVEO OD10mm ID2.5mm 240cm,64.51
MILABR01,MILA BRONCHO ALVEO OD10mm ID2.5mm 300cm,64.51
MILAFO01,MILA FOLEY CATHET 8FRx60cm,32.81
MILAFO02,MILA FOLEY CATHET 10FRx45cm+5cc BALLOON,32.81
MILAFO03,MILA FOLEY CATHET 10FRx90cm+5cc BALLOON,32.81
MILAFO04,MILA FOLEY CATHET 6FRx60cm+1.5cc BALL,32.81
MILANA04,MILA NASA FEEDING TUBE 12FRx108cm WEIGT,23.56
MILAOO02,OUTER REPLAC NEEDLE 12Gx60cm ETCHED TIP,26.49
MILAOO03,OUTER REPLAC NEEDLE 12Gx60cm NON ETCHED,26.49
MILASH01,MILA SHORT TERM CATH 12Gx13cm FENES 1st,9.59
MILASK03,MILA 50 PACK ACCESSING NEEDLES,42.87
HONDEN10,HONDENKRAAG SMART COLLAR M3,3.09
MILACA08,MILA INDWELLING CATHETER ONLY,41.09
MILAEP00,MILA EPIDURAL 20Gx15cm TUOHY,34.10
MILAFO05,MILA FOLEY CATHET 24FRx42cm+30cc BALL,46.21
MILAINS00,MILA INSEMINATION SET 2mm X 200cm,41.09
MILAPE00,MILA PEG KIT 16FR,60.72
MILAPI00,MILA PIGTAIL DRAIN CATH 14Gx25cm 1st,63.00
MILATC00,MILA T-CON TWO FEMALES 10st,30.00
CENTRI10,SAFE CRIT CAPIL TUB 40MM SOD/HEP 100st,13.03
MILACA05,MILA INDWELLING CATHETER KIT,54.15
MILACA09,MILA CATHET KIT GW 16Gx15cm 1st,18.47
MILADI00,MILA DIFFUSION WOUND CATHETER 6inch,16.44
MILAES00,MILA ESOPH FEEDING TUBE FELINE 14FR,18.09
MILAES01,MILA ESOPH FEEDING TUBE CANINE 14FR,18.09
MILAFE01,MILA FEMALE TO FEMALE LUER CON 10st,16.44
MILAMA01,MILA MALE TO MALE LUER CON 10st,16.44
MILATW00,MILA TRACH WASH ASPIRATION 2mmx190cm1st,24.88
MILADR02,MILA DRAIN WITH INTRODUCER 8FR 100CC,24.25
MILADR03,MILA DRAIN WITH INTRODUCER 10FR 100CC,24.25
MILACA11,MILA CATHET KIT+EXCT SET 16G 1st,23.90
MILACA13,MILA CATHET OVER NEEDLE 14Gx20cm 1ST,23.90
MILAFL04,MILA FLOW 10ML IN 12HOURS-0.8ML,10.22
MILACA07,MILA NEEDLELESS INJECTION CAP 1st,2.65
MILAOO04,OOCYTE REPLACEMENT LINES,7.76
MILANE01,MILA SPINAL NEEDLE 18Gx25cm 1st,9.13
ANOSCO22,ANUSCOOP TUBUSSEN WA 10X19MM 100st,231.21
EARWAS01,EAR WASH OORSPECULA WA 25st,34.68
ECGWEL01,ECG PAPIER ZIGZAG WELCH ALLYN CP50 4st,38.18
EKGELE02,ECG ELEKTR WELCH ALLYN RESTING 1000st,119.85
SPIROM11,SPIROMETER WA PNEUMOCHECK MONDSTUK500ST,138.94
THERMO01,THERMOSCAN WEGWERP-OORTIPS 200st,10.61
THERMO56,THERMOM SURETEMP WEGWERPPROBES 1000st,33.94
TYMPAN05,TYMPANOMETER PPR VOOR MICROTYMP2 5rln,63.64
WWSPEC07,WW SPECUL 2.75MM WA 52432-UB 850st,41.36
WWSPEC08,WW SPECUL 4.25MM WA 52434-UB 850st,41.36
WWSPEC12,WW SPECUL VAG MED58601 WA KLEENSPEC25st,41.89
WWSPEC14,WW KLEENSPEC WA VAG MED 59001 24ST,66.29
VASOCA10,VASOCAN STOP WIT 1st,0.11
HONDEN08,HONDENKRAAG SMART COLLAR M1,1.91
HONDEN09,HONDENKRAAG SMART COLLAR M2,2.33
SWABS001,SWABS COPAN STERIEL IN BUISJE 100st,18.48
MILAEZ04,MILA EZIO LOW PROFILE EXTENSION SET,3.10
HONDEN07,HONDENKRAAG SMART COLLAR M0,1.68
SURFLO66,VLEUGELNAALD CATHET KRUUSE 19Gx19mm1st,0.30
SONDEB01,SONDE BUBBLE NON-COND 5mm-1cm 1M,0.47
SONDEE01,SONDE VROUW CH14 RECHT STERIEL 1st,0.17
MILARE00,MILA E-Y REPAIR KIT,7.99
MILAINT00,MILA PEEL AWAY INTRODUCER 16Gx15cm,18.47
MILAINT01,MILA PEEL AWAY INTRODUCER 16Gx25cm,18.47
MILACA14,MILA VEINCATH 20Gx30cm+18G INTRODUCER,11.97
DRIEWE00,DRIE-WEGKRAAN DISCOFIX LL BLAUW 1st,0.42
KIPIPE31,KI-PIPET VARKENS WEGWERP 2st,0.42
INFUSI80,INFUSIE VERLENGLEIDING 150cm DIA 3 1st,0.45
BORSTE10,BORSTEL CHIRUGISCH STERIEL 1st,0.45
OORSPU20,WW OORSPUIT 50 ML TERUMO CATH TIP 1st,0.45
DURACE00,DURACELL AA 1500 1.5 V,0.48
DURACE01,DURACELL AAA 2400 1.5 V,0.48
LEBMAA01,LEBMAAG-FIXATIESET METAAL 2st,3.26
SWANSM24,BISTOURIMESJES SMI NR24 STERIEL 100st,7.48
SELEKT08,SELEKT DIGISTART POEDER 785gr,9.55
PETFLE10,"PET-FLEX NO CHEW 5CM X 4.5M, 36ST",93.02
DEMOTE00,DEMOTEC HOEFBLOK EASY BLOC LINKS,5.12
DEMOTE01,DEMOTEC HOEFBLOK EASY BLOC RECHTS,5.12
HANDSC401,HANDSC 90cm MET HALSBINDER 100st,13.82
HANDSC403,HANDSC 95cm TRANSPARANT 100st,13.82
HOOFCA00,HOOF CARE LIQUID EXTRA FORTE 500ML,13.82
WWSCHO05,WW SCHORT BLAUW 156CM  24ST,31.56
WWSCHO13,WW SCHORT BLAUW 140CM 24st,31.53
DEMOTE06,DEMOTEC EASY BLOC POEDER 500GR,41.32
DEMOTE07,DEMOTEC 90/95 ACCELERATOR 80ML,10.59
DEMOTE08,DEMOTEC90 12 BEHANDELINGEN,67.45
DEMOTE09,DEMOTEC95 14 BEHANDELINGEN,78.92
DEMOTE10,DEMOTEC EASY BLOC KIT VOOR 12 BEHAND,90.05
DEMOTE11,DEMOTEC FUTURA PAD 10st,111.24
DEMOTE12,DEMOTEC EASY BLOC KIT 12 BEHAND XPRESS,85.48
DEMOTE13,DEMOTEC EASYBLOC XPRESS VLOEISTOF 250ML,24.15
DEMOTE15,DEMOTEC PRACTIC BOOT KLAUWENSCHOEN RUND,56.50
PROBIO01,"PROBIOCUR 2,5KG",57.58
CATHET57,CATHET SIALOGRAFIE 25G 30cm 50st,273.41
DEMOTE05,DEMOTEC EASY BLOC OPLOSMIDDEL 250 ML,25.42
SELEKT03,SELEKT ELECTRODOTE POEDER 900gr,11.17
SELEKT07,SELEKT ELECTROLIETEN POEDER 400gr,3.64
WWSCHO06,WW SCHORT GROEN 170CM  24ST,20.73
WWSCHO07,WW SCHORT GROEN 180CM  24ST,20.73
SELEKT02,SELEKT GLYCEROL PLUS LIQUIDE 1L,9.94
SELEKT06,SELEKT ANTIACIDE 400gr,6.53
SELEKT09,SELEKT POST PARTUM POEDER 700gr,8.74
TANGHU02,TANG HUIDHECHT SMI 35 NIETJES 1st,6.91
DILATA00,DILATATIESTIFTEN 20st,4.05
WOLLEN00,"WOLLEN SPEENSTIFTEN, 20st",2.95
CANULE22,CANULE TEPEL 7cm 10st,2.82
AFDEKD07,AFDEKDOEK BUSTER+ZELFK GAT STER XXL 1st,1.15
AFDEKD10,AFDEKDOEK BUSTER 30x45cm STERIEL 1st,0.86
MILAFO06,MILA FOLEY CATHET 8FRx90cm+3cc BALLOON,31.74
VOGELK10,VOGELKRAAG SMALL 10cm 1st,0.92
INFUSI70,INFUSIE DIALEX DEBIETREG+BIJSPUIT 40cm1s,1.30
AFDEKD12,AFDEKDOEK BUSTER 90x120cm STERIEL 1st,1.33
VOGELK09,VOGELKRAAG EXTRA SMALL 8cm 1st,0.67
KIPIPE45,KI-PIPET SOEP MINITUB STER 65CM 1st,1.33
FLESSA30,FLESSA SPELDEN GROEN PLASTIEK 1st,1.02
INFUSI00,INFUSIESET BAXTER RMC5823P 1st,1.39
VOGELK11,VOGELKRAAG MEDIUM 14cm 1st,1.08
HONDEN34,HONDENKR CLIC COL 20cm,2.53
MAGNEE00,MAGNEET KOOI KLEIN MODEL 1st,2.53
KIPIPE13,KI-PIPET PAARD MINITUB 75cm - 1st,1.45
FREELI00,FREELIFE PAPIERWAREN VERFRIS DOEK 72st,1.45
TUBERE00,TUBE REANIMATIEMASKER VENTO,1.45
FLESSA21,FLESSASPELDEN METAAL 10cm 1st,1.45
FLESSA22,FLESSASPELDEN METAAL 13cm 1st,1.45
MICROP01,MICROPORE 2.5cm 1st OP RING,1.11
AFDEKD15,AFDEKDOEK BUSTER 120x180cm STERIEL 1st,2.24
DRAAGG10,DRAAGGLAASJES 72st,1.52
INFUSI98,INFUSIE GROTE HUISDIEREN MET FILTER 1st,1.52
SANGIO01,SANGIOFIX N 150CM LUER,1.52
CONNEC30,VERBINDINGS DUB CONISCH COLOPLAST 1st,1.14
DRIEWE20,DRIEWEGKRAAN DIALEX MALE LL 1st,0.38
KIPIPE47,KI-PIPET RUND MINITUB UNIVERSEEL 50st,1.52
CATHET60,CATH URINE KAT 130x1.0MM BUSTER 1st,2.30
CATHET61,CATH URINE KAT 130x1.3MM BUSTER 1st,2.30
HONDEN33,HONDENKR CLIC COL 15cm,2.30
DRAINA06,DRAINAGE SLANG 300CM CH24  1st,2.33
AVTHAF00,AVT-HAFT 8CM X 4M,0.79
LENKEL01,LENKELAST 8cmx5m 1st,2.36
CREPEW04,CREPEWINDSEL 20cmx4m CELLO 1st,2.39
VETRAP01,VETRAP 7.5cmx4.5m 1st,2.42
SPATEL05,SPATEL CERVIX WOOD 100st,2.42
ECGNIH11,ECG NIHON KODHEN ELEKTRODEN VITRODE30st,2.42
CATHET30,CATH IV INTRAFLON 12GX80MM 2.7mmBLAUW1st,2.42
CATHET97,CATHETER INTROCAN 24Gx3/4 1st,0.82
CATHET98,CATHETER INTROCAN W 24Gx3/4 1st,0.82
TORKZA00,TORK PLUKZAKDOEKEN 2L 100st,0.82
DURACE10,DURACELL CR 2032 3V ELITE 1st,1.23
SURFLO71,SURFLO WINGED 26GX19MM PAARS 1st,0.82
SURFLO72,SURFLO WINGED 24GX19MM GEEL 1st,0.82
SURFLO73,SURFLO WINGED 22GX25MM BLAUW  1st,0.82
SURFLO74,SURFLO WINGED 20GX32MM ROZE 1st,0.82
SURFLO75,SURFLO WINGED 18GX45MM GROEN 1st,0.82
VERSAT08,VERSATUS W 26G X 19MM 1st,0.82
FLESSA20,FLESSASPELDEN METAAL 7.5cm 1st,1.23
ELASTO11,ELASTOMULL HAFT 4mx6cm 1st,2.08
HONDEN83,HONDENKR FUNCOL 15cm GROENE POOTJES,2.48
WWNAAL09,WWNAALDEN VALULINE 16Gx1 100st,2.48
KIPIPE20,KI-PIPET 44cm BLAUW IMV 50st,2.08
TANDPO14,TAND POLIJST IM3 OSCILLA DISPOSABLE 1st,1.26
VASOVET00,VASOVET CATH 24Gx19mm GEEL 1st,0.85
VASOVET01,VASOVET CATH 22Gx25mm BLAUW 1st,0.85
VASOVET02,VASOVET CATH 20Gx25mm ROZE 1st,0.85
VASOVET03,VASOVET CATH 20Gx33mm ROZE 1st,0.85
VASOVET04,VASOVET CATH 18Gx33mm GROEN 1st,0.85
VASOVET05,VASOVET CATH 18Gx45mm GROEN 1st,0.85
VASOVET06,VASOVET CATH 14Gx50mm ORANJE 1st,0.85
INFUSI71,INFUS DIALEX DEBIETR+3W+Y BIJSP 230cm1st,3.39
ELASTR00,ELASTRATORRINGEN 100st,2.55
MERKST00,MERKSTIFT RAIDEX LILA,0.85
MERKST01,MERKSTIFT RAIDEX BLAUW,0.85
MERKST02,MERKSTIFT RAIDEX GROEN,0.85
MERKST03,MERKSTIFT RAIDEX ROOD,0.85
MERKST04,MERKSTIFT RAIDEX GEEL,0.85
MERKST05,MERKSTIFT RAIDEX ZWART,0.85
MERKST06,MERKSTIFT RAIDEX ORANJE,0.85
HONDEN91,HONDENKR BUSTER CLASSIC TRANSP 75cm,1.70
HANDSC011,HANDSC SEMPERCARE VINYL GP NST S 100st,3.39
HANDSC012,HANDSC SEMPERCARE VINYL GP NST M 100st,3.39
HANDSC013,HANDSC SEMPERCARE VINYL GP NST L 100st,3.39
HANDSC014,HANDSC SEMPERCARE VINYL GP NST XL 100st,3.39
NARCOS54,NARCOSE VOCHTFILTER HOEK PEDIATER 1st,3.39
CELLON54,CELLONA XTRA 12cm 1st,2.55
GLIJMI11,GLIJMIDDEL INSTRULIFE 500ml,3.42
EKGPHI00,EKG PHILIPS PAP 50cmx20m 1rol,2.20
INFUSI09,"INFUSIESET BAXTER+DRIEWEGKR 15CM,1st",1.32
HANDSC98,HANDSC PLASTIEK KORT 100st,1.32
SPALKF08,SPALK FROG SMALL,4.39
SPALKF10,SPALK FROG MEDIUM,4.39
SPALKF12,SPALK FROG LARGE,4.39
GLIJMI80,GLIJMIDDEL 500 ML BOVIVET,3.52
SPALKP02,SPALK KRUUSE PLASTIEK SPLINT LARGE,4.42
AFZUIG00,SLIJMAFZUIGER MUCUS EXTRACTOR CH12 1st,0.88
CELLON53,CELLONA XTRA 20cm 1st,3.55
HONDEN41,HONDENKRSTAR NR 2,3.55
COVERL00,COVERPLAST LATEX-FREE ROND 2.2cm 100st,3.14
SPALKV01,SPALK VINGER ALUMINIUM 1.9x500MM 1st,3.11
WWNAAL07,WWN BD 30Gx1/2 0.3x13GEEL 100st,4.48
MONCOM05,MONITOR COMPACT5 PAPIER 1ROL,3.11
HONDEN01,HONDENKR TRANSCOL 15cm 1st GROEN,2.23
OVERAL01,OVERALL+KAP BLAUW LARGE COMBIVET 1st,2.23
SILICO00,SILICONE OLIE 30 ML,2.23
CATHET62,CATH URINE 500x2MM HOND BUSTER 1st,4.02
CATHET63,CATH URINE 500x2.6MM HOND BUSTER 1st,4.02
HONDEN93,HONDENKR BUSTER CLASSIC TRANSP 12.5cm,2.23
WWSPUI30,WWS BRAUN OMNIFIX 100 ML,1.82
DIASHA01,DIAFARM BP-SHAMPOO 150ml,4.55
DIAURO00,DIAFARM UROLSYN PASTA VR HONDEN 120gr,5.45
MONDMA15,MONDMASKER REANIMATIE LIFE FOR 2 1st,1.82
ANESTH30,ANESTH GROF STOFFILTER VR KROBER O2 5sT,5.45
COMPRE90,COMPRES STER TENDRA 5x5cm 8L 30x5st,4.55
AFZUIG21,SUCTION 50ml CANISTER 1pc,4.55
AFZUIG26,SUCTION CAP 15mm ID 1pc,1.82
KATKOR00,KATKOR 200GRAM,1.82
DURACE03,DURACELL 1604 9 V BLOK,1.82
CANULE100,CANULE ENDO-TRACHEAAL DOORZICHTIG 5.5 MM,1.82
CANULE101,CANULE ENDO-TRACHEAAL DOORZICHTIG 6.5 MM,1.82
CANULE102,CANULE ENDO-TRACHEAAL DOORZICHTIG 7.5 MM,1.82
CANULE103,CANULE ENDO-TRACHEAAL DOORZICHTIG 8.5 MM,1.82
CANULE104,CANULE ENDO-TRACHEAAL DOORZICHTIG 9.5 MM,1.82
CANULE105,CANULE ENDO-TRACHEAAL DOORZICHTIG 10 MM,1.82
CANULE90,CANULE ENDO-TRACHEAAL DOORZICHTIG 8 MM,1.82
CANULE91,CANULE ENDO-TRACHEAAL DOORZICHTIG 5 MM,1.82
CANULE92,CANULE ENDO-TRACHEAAL DOORZICHTIG 6 MM,1.82
CANULE93,CANULE ENDO-TRACHEAAL DOORZICHTIG 7 MM,1.82
CANULE94,CANULE ENDO-TRACHEAAL DOORZICHTIG 9 MM,1.82
CANULE96,CANULE ENDO-TRACHEAAL DOORZICHTIG 3 MM,1.82
CANULE97,CANULE ENDO-TRACHEAAL DOORZICHTIG 3.5 MM,1.82
CANULE98,CANULE ENDO-TRACHEAAL DOORZICHTIG 4 MM,1.82
CANULE99,CANULE ENDO-TRACHEAAL DOORZICHTIG 4.5 MM,1.82
STELLA80,STELLASTIC VISCOSE 7cmx4m CELLO 20st,5.45
WWSPUI32,WWS TERUMO 2D 5 ML 100 STUKS,4.55
LARYNG34,LARYNG MILLER NR1 WEGWERP NT-STER 1st,3.20
LARYNG35,LARYNG MILLER NR2 WEGWERP NT-STER 1st,3.20
LARYNG36,LARYNG MILLER NR3 WEGWERP NT-STER 1st,3.20
SANGIO00,SANGIOFIX ES TRANSFUSIESET 180CM LL 1st,1.38
WWNAAL08,WWN BRAUN STERICAN 20Gx2 3/4 INTRAM100st,5.52
WWNAAL16,WWN BRAUN STERICAN 20Gx2 4/5 100st,5.52
HONDEN84,HONDENKR FUNCOL 20cm GELE POOTJES,3.23
OVERAL02,OVERALL+KAP BLAUW X-LARGE COMBIVET 1st,2.29
SPALKG02,SPALK GROOT 40cm 1st,4.14
VOEDIN00,VOEDINGSSET LAM 60 ML,1.38
MOLIME04,MOLIMED MAXI 14st,4.14
AFDEKD14,AFDEKDOEK BUSTER 120x250cm STERIEL 1st,3.20
CATHET41,CATH PAARD BAARM FLUSHING TUBE 190cm 1st,3.20
GLIJMI81,GLIJMIDDEL 1000 ML BOVIVET,5.48
FORTE00,FORTELAST ELAST WIND 6cmx4.5m 1st,4.14
EKGCAR04,EKG PAP CARDIETTE AR600 60MMx15M 1rol,3.26
GAZOFI00,GAZOFIX 4cmx4m 1st,1.85
GAZOFI02,GAZOFIX 8cmx4m 1st,2.32
SOFFBA00,SOFFBAN 5cmx2.7m 12st,6.52
CATHET33,CATH IV INTRAFLON 14Gx52mm 2.1mmORAN 1st,2.32
TONDEU21,TONDEUZE BLADE WASH OSTER REINIGER 450ml,4.20
NISSAN00,"NISSAN NON WOVEN PAD 7,5x7,5cm 4L 100st",2.32
TELRAA03,TELKAMER DEKGLAS V FUCHS-ROSENTHAL 2st,2.32
VERBAN40,VERBANDHAAKJE 100st WIT,4.17
CLIPPE00,CLIPPER SPRAY 400 ML,5.61
MASTIT00,MASTITIS CMT TEST OPL 1 L KRUUSE,5.61
TEPELB00,TEPEL BANDAGE 6cmx5m,6.52
PENROS10,PENROSE DR NR1 NT-ST SILICON RUSCH100cm,5.58
PENROS11,PENROSE DR NR2 NT-ST SILICON RUSCH100cm,5.58
EURON000,NON-WOVEN VERBAND EURON NS 10x10cm150st,5.58
FORTE01,FORTELAST ELAST WIND 8cmx4.5m 1st,5.58
WWNAAL43,WWN MONOJECT 16GX1 1/2 METAL HUB 100st,12.59
INKTTA00,INKT TATOUEER 125 ML TUBE ZWART,5.55
SCHEER23,SCHEERMESJES GILET SUPERSILVER 10MESJES,6.58
VASOCA03,VASOCAN / VASOFIX MANDRIN 16G GRIJS 1st,0.47
WWNAAL19,WWN BRAUN STERICAN 25Gx1 1/2 100st,7.52
WWNAAL00,WWN BD 16Gx1 1/2 16x40 WIT 100st,7.52
TENSOP00,TENSOPLAST 2.5cmx4.5m 1st,4.26
AVTHAF02,AVT-HAFT 10CM X 4M,0.94
CATHET64,CATH URINE 500x3.3MM HOND BUSTER 1st,4.26
HONDEN20,HONDENKR BUSTER CLASSIC MELKWIT 7.5cm,1.41
CANULE17,CANULE TEPEL CONISCH LUER 1.5cm100st,7.58
CREPEW01,CREPEWINDSEL 7cmx4m CELLO 1st,0.47
MOLLEL01,MOLLELAST HAFT 10cm X 4m 1st,1.88
ZEMUKO00,ZEMUKO 10cmx10,6.61
VENOJE12,VENOJECT HOUDER KLIKSYS 25st,7.58
FLESSA10,FLESSAPLAATJES PAAR,1.88
HONDEN43,HONDENKRSTAR NR 4,4.26
IRAPAD00,I-RAP ADAPTOR LL - LL 1st,2.35
CONNEC32,CONNECTOR LOCK FITTING/CONUS FIT 1st,1.91
INFUSI30,INFUSIESET EXADROP,3.35
JERSEY00,JERSEY KATOEN 3cmx25m,9.55
TENSOB20,TENSOBAN PRETAPE 7cmx20m 2st,7.14
TENSOP20,TENSOPLUS 8cmx3m WIT 1ROL,9.58
INFUSI73,INFUSIE DIALEX+Y BIJSPUIT+3W LL 195cm 1s,1.91
MICROS36,MICROSC PREPARAATDOOS 25st HOUTEN FRAME,7.64
HONDEN02,HONDENKR TRANSCOL 20cm 1st GEEL,2.85
AUTOCL24,AUTOCLAAFZAK 160 X 270MM 100st,8.64
ENDOSC42,ENDOSC SONDE EQUIVET FLUSHING STER 1st,3.35
KIPIPE19,KI-PIPET PAARD BOVIVET NT ST 70cm 25st,11.48
SPALKQ00,SPALK QUICK SPLINT BUST ACHTERPOOT S 1P,15.77
SONDEM02,SONDE BLAAS CH14 CYL TIP 1 OOG STER 1st,4.29
ALCOHO21,ALCOHOLGEL HIBI HYDRO 500ml+POMP 1st,4.32
WWSCHO22,WW SCHORT 810x1250mm POLYSEM100st WIT,8.64
DURACE04,DURACELL PC 1300 D,1.44
TAPEGA00,TAPE VOOR GASSTERILISATIE 1st,4.32
LEUKOC12,LEUKOCLIP CASSETTE 20 NIETJES,7.61
VLIWAZ00,VLIWAZELL 10c10cm STERIEL 25st,6.23
NEUSRI02,NEUSRING INOX UKAL 1st,1.91
SCHEER22,SCHEERMESJES DOUBLE EDGE PLATIN/CHROOM,2.88
HOEFBL00,HOEFBLOKJE RUBBER EN NAGELS,4.32
